67|加克拉|100340|1|120
68|加格|100341|1|120
69|邦恩吉|100342|1|120
70|奇娜|100344|1|120
71|奇卡宝斯|100345|1|120
72|卡卡金宝|100346|1|120
73|邦奇|100347|1|120
74|姆伊|100348|1|120
75|海主人|100349|1|120
76|多鲁宝|100350|1|120
77|布洛多斯|100351|1|120
78|布林帖斯|100352|1|120
79|布拉奇多斯|100353|1|120
80|斯天多斯|100354|1|120
81|玛恩摩|100355|1|120
82|恩摩摩|100356|1|120
83|玛摩那斯|100357|1|120
84|玛恩摩洛斯|100358|1|120
85|帖拉格恩|100359|1|120
86|洛卡伦恩|100360|1|120
87|加宝格恩|100361|1|120
88|朵拉比斯|100362|1|120
89|火鸡|100367|1|120
90|克克洛斯|100368|1|120
91|霍尔克|100369|1|120
92|奇宝|100370|1|120
93|奥卡洛斯|100371|1|120
94|左迪洛斯|100372|1|120
95|巴朵兰恩|100373|1|120
96|帖拉所伊朵|100374|1|120
97|摩娜西普|100376|1|120
98|拉伊霍恩|100378|1|120
99|史多拉奇顿|100379|1|120
100|阿利给洛斯|100381|1|120
101|达伊诺洛斯|100382|1|120
102|拉可拉斯|100383|1|120
103|邦洛洛克斯|100384|1|120
105|兰贝鲁斯|100385|1|120
106|可利多洛斯|100386|1|120
107|诺斯多洛斯|100387|1|120
108|黑乌力|100388|1|120
109|洛克斯|100389|1|120
110|阿伊萨|100390|1|120
111|格洛格鲁|100391|1|120
112|朵洛将恩|100392|1|120
113|柏克尔|100393|1|120
114|布鲁顿|100394|1|120
115|布鲁宝|100395|1|120
116|邦恩多斯|100396|1|120
117|迪欧|100401|1|30
118|邦达霍恩|100430|1|120
119|鲁乌|100432|1|30
120|玛蕾菲雅|100451|1|79
121|乌力莱德|100821|1|120
122|布依布鲁|100823|1|120
123|布依布依|100824|1|120
124|布依胖|100825|1|120
125|加斯奥|100827|70|120
126|比比加|100829|65|120
127|乌宝依|100830|1|120
128|威斯|100831|1|120
129|威比|100832|1|120
130|贝洛金|100834|1|120
131|贝洛格|100835|70|120
132|贝洛贝|100836|85|120
133|蓝龟|100838|1|120
134|卡拉格尔|100839|85|120
135|龟之钢|100840|1|120
136|尼加斯|100842|1|120
137|呼波波|100845|70|120
138|呼鲁鲁|100846|1|120
139|鲁拉其斯|100847|85|120
140|拉奇斯斯|100848|45|120
141|邦诺斯娜|100849|1|120
142|杨格斯|100850|1|120
143|迪基格斯|100851|1|120
144|克拉尔|100852|1|120
145|拉斯基|100853|1|120
146|里拉拉|100854|1|120
147|克达达|100855|1|120
148|昆依特|100857|70|120
149|可卡特|100859|85|120
150|司尔顿|100860|1|120
151|格尔希洛|100861|1|120
152|梅尔顿|100862|90|120
153|戈登尔顿|100863|1|120
154|蓝宝|100864|90|120
155|毛宝|100866|1|120
156|欧林吉鲁|100867|1|120
157|史凯鲁|100868|1|120
158|耶普鲁|100869|70|120
159|芭拉芭|100870|1|120
160|普鲁夏|100871|1|120
161|佩露夏|100872|100|0
162|萨格鲁|100873|1|120
163|玛斯贝卡|100874|1|120
164|麦丁布斯|100875|1|120
165|加耶布斯|100876|91|120
166|迪米布斯|100877|85|120
167|玻洛布斯|100878|1|120
168|迪加|100879|1|120
169|砂鲨|100880|1|120
170|波波顿|100881|1|120
171|梅鲁莎|100882|1|120
172|尤里蛙|100883|1|120
173|裘里蛙|100884|1|120
174|艾尔蛙|100885|1|120
175|里昂蛙|100886|1|120
176|欧瑟菲|100887|1|120
177|莫拉司|100888|1|120
178|玛斯特|100889|1|120
179|沙瓦列|100890|95|120
180|嘎吱拉|100891|1|120
181|可可恩|100898|90|120
182|克洛恩|100899|1|120
183|布兰恩|100900|1|120
184|迪布恩|100901|1|120
185|格里兰|100902|1|120
186|摩里|100903|1|120
187|瑞里西尔|100904|1|120
188|塔斯夫|100905|1|120
189|朵巴奈特|100906|1|120
190|斑尼迪克|100907|1|120
191|阿米朵|100908|1|120
192|布洛多多|100908|1|120
193|邦司凉朵|100909|1|120
194|布莱兹|100910|1|120
195|布依伦斯|100911|106|120
196|伊夫霍恩|100912|1|120
197|莱姆洛斯|100913|101|120
198|朱利洛斯|100914|1|120
199|辛普洛斯|100915|1|120
200|立杜鲁斯|100916|1|120
201|巴克亚司|100918|1|120
202|雷德力克斯|100919|1|120
203|凯恩|101180|80|0
204|讦谯龙|101279|79|79
205|雷诛|101281|79|79
206|伊蕾丝|101414|1|50
207|布尔摩|101441|100|0
208|库玛斯|101444|1|120
209|雷玛特|101445|1|120
210|菲斯玛|101446|1|120
211|贝库尔|101447|1|120
212|毕格艾斯|101452|1|120
213|裘比斯|101453|1|120
214|阿卡西斯|101454|1|120
215|洛可洛斯|101455|1|120
216|法兹蒙特|101456|1|120
217|雷格特|101457|1|120
218|洛克尔|101458|1|120
219|米恩斯特|101459|1|120
220|利西亚|101460|1|120
221|佩罗亚|101461|1|120
222|伊利曼亚|101462|1|120
223|卡力洛亚|101463|1|120
224|拉佛洛斯|101464|1|120
225|利普多尔|101465|1|120
226|邦克普斯|101466|1|120
227|奥普萨斯|101467|1|120
228|迪亚古斯|101468|1|120
229|马鲁古斯|101469|1|120
230|尔洛普|101470|1|120
231|卡克普|101471|1|120
232|西修|101472|1|120
233|哈尔修|101473|1|120
234|弗利修|101474|1|120
235|巴利|101475|1|120
236|雅特拉斯|101476|1|120
237|伊利亚德|101477|1|120
238|米尼奈巴|101478|1|120
239|德拉斯|101479|1|120
240|科伦特|101480|1|120
241|邦欧里|101481|1|120
242|加雷|101482|1|120
243|加古特|101483|1|120
244|邦西普|101484|1|120
245|伊亚欧莱|101485|1|120
246|拉格多鲁|101486|1|120
247|西顿克尔|101487|1|120
248|克罗那斯|101488|1|120
249|史卡鲁|101532|1|120
250|史卡特|101533|1|120
251|洛安奇|101534|1|120
252|洛斯克|101535|40|120
253|洛比特|101537|1|120
254|西柏克|101538|1|120
255|特利斯克|101539|1|120
256|沙瓦克|101540|1|120
257|多尔克|101548|40|120
258|那尔斯|101549|1|120
259|塔克|101550|1|120
260|奥特普|101551|1|120
261|那提拉|101552|30|120
262|布斯迪|101553|1|120
263|特雷沙|101554|1|120
264|史比特|101556|40|120
265|康尔特|101558|1|120
266|伯洛西|101559|1|120
267|卡特|101562|1|120
268|卡伯|101563|1|120
269|夏普德|101564|1|120
270|伊克多|101567|1|120
271|奇格拉|101568|1|120
272|多格斯|101569|1|120
273|罗多克雷|101576|1|120
274|罗特克拉|101577|1|120
275|菲奇亚|101616|100|0
276|克雷多|101619|1|120
277|培罗多|101620|1|120
278|多瑞里|101707|1|120
279|贝瑞里|101708|1|120
280|史克杰|101709|1|120
281|史菲洛|101710|1|120
282|西斯达|101716|1|120
283|萨德斯凯|101736|1|120
284|萨德迪比|101737|1|120
285|乌力王|101766|1|120
286|哈利恩斯|101816|1|120
287|帖伊诺斯|101819|1|120
